"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NCL",39880.7794421927,-1.27527641066509,0.193217260385077,-6.60021991888045,4.10548310081464e-11,6.51868606747348e-07
"AADAT",42.7720774051839,1.22671197010152,0.426794176891074,2.87424720514544,0.00404991835482179,0.0303089329378319
"AAED1",239.02956086345,0.682562756719319,0.198011547856748,3.4470856074168,0.000566668990817837,0.0079663662680116
"AAMP",925.283773842591,-0.785988375169162,0.230082590155082,-3.41611407729452,0.000635216304662103,0.00856921366646123
"AARS2",740.656482146693,-0.476724720522037,0.180493221251743,-2.64123337827256,0.00826047960087465,0.0489753397435667
"AASDHPPT",436.285045928534,-0.53703606286525,0.16796439696572,-3.19732081659456,0.0013871055981102,0.0147419428961137
"ABC14-864958H18.2",48.6717786185273,1.21601219900231,0.415579631769253,2.92606303592253,0.0034328137285583,0.027090564802211
"ABCA12",674.437410573319,2.353822273417,0.685734270286884,3.43255744303438,0.000597917206067163,0.00821256868333426
"ABCA5",1321.2363789831,0.596475297378929,0.213500410916954,2.79378992676011,0.0052094307909515,0.0357765320496228
"ABCB1",411.452475841125,1.00784586106767,0.33429177600686,3.01486884633078,0.00257090400467283,0.0223176631893334
"ABCF1",3444.20730233878,-0.869701416413015,0.222990864708025,-3.90016612362917,9.61267066761662e-05,0.00241503140601925
"ABCF2",1672.66826549319,-0.515640554820388,0.175799152083904,-2.93312310502093,0.00335570806512656,0.0267479581616865
"ABCG2",177.211917554964,1.08138607078245,0.365283831262259,2.96039949823583,0.00307240347250599,0.0251282860913293
"ABHD10",236.496862403203,-0.467299251144986,0.168996170841627,-2.76514697828811,0.00568971530019113,0.0379744848829066
"ABHD13",481.363037889368,0.809546969410695,0.178516490449444,4.53485819361858,5.76422001761876e-06,0.000421770900644012
"ABHD18",926.792087684651,0.346899698039029,0.108791709010335,3.18865933070391,0.00142934215625399,0.0150260562974715
"ABL1",1105.25491945697,-0.428321892468676,0.159995511268559,-2.67708693245601,0.00742653631417447,0.0455775751883118
"ABO",27.6673200874155,1.49255372943634,0.418002537517083,3.57068102577092,0.000356054278749723,0.00587674619333482
"ABTB2",480.660064987582,-1.29525589106584,0.471003547448845,-2.74999179535164,0.00595967569075786,0.0392964674206789
"AC000367.1",20.2308223296466,0.887390470421024,0.324840524327221,2.73177268217659,0.00629945879608966,0.0407757059781132
"AC004453.8",178.3625217285,0.718212244349245,0.260269857388831,2.75949067462034,0.00578915393638863,0.0384442434972726
"AC004813.1",1096.48679162658,1.22007375517376,0.27315358240972,4.46662183380666,7.94644158204524e-06,0.000509634743702494
"AC004893.10",40.483836701751,1.08032587069488,0.347332093672208,3.1103542988873,0.00186863058625834,0.0179770310227369
"AC005154.8",27.4265835692556,1.30438855437056,0.315198195711306,4.13831224962109,3.49870006567977e-05,0.00128000828670192
"AC005943.2",464.626263270209,-0.935372506245611,0.257342602205059,-3.63473633293051,0.000278265074434776,0.004979941976218
"AC006509.7",24.7877640581692,1.43425271792089,0.44817064710907,3.20023796108146,0.00137314166731973,0.01467681924645
"AC007326.1",46.1086641364989,1.23554704455552,0.270815416451513,4.562321675571,5.0591057407533e-06,0.000392610866704949
"AC007365.4",31.8230919571324,1.46882028777812,0.533265604060451,2.75438782586776,0.00588020432149563,0.0389131421074255
"AC007899.3",46.5947188528615,1.40106507280044,0.334166914045325,4.19271033101262,2.75641316456989e-05,0.0010849423072537
"AC007919.18",35.9375409212846,1.44801054406689,0.360902872573424,4.01218902399371,6.01582987651326e-05,0.00179210781949864
"AC008810.1",410.399799526356,1.04223822258714,0.262128235805988,3.97606240084164,7.00657474570614e-05,0.00196903351880216
"AC009060.1",1901.44454731406,0.867562439211528,0.236063635027061,3.6751210711132,0.000237736649536012,0.00448600706918215
